Subscription ID,Household Income,Home Ownership,Children,Year Of Residence,Age Range,Recruitment Channel,Subscriber
160104172,"$200,000 - $299,999",OWNER,N,24,65-69,DirectMarketing,YES
181275330,"$400,000 - $499,999",OWNER,N,20,50-54,Website,YES
160028033,"$200,000 - $299,999",OWNER,Y,13,35-39,DirectMarketing,NO
181506302,"$100,000 - $199,999",RENTER,N,2,45-49,Website,YES
180460970,"Under $20,000",OWNER,N,16,65-69,DirectMarketing,NO
150570210,"$100,000 - $199,999",OWNER,Y,14,50-54,DirectMarketing,NO
170290184,"$400,000 - $499,999",OWNER,Y,13,45-49,DirectMarketing,NO
181285073,"$100,000 - $199,999",OWNER,Y,2,35-39,Website,YES
180194090,"$200,000 - $299,999",OWNER,N,5,45-49,DirectMarketing,NO
110273028,"$100,000 - $199,999",OWNER,Y,24,50-54,DirectMarketing,NO
180344725,"$100,000 - $199,999",OWNER,N,22,50-54,Website,NO
181139680,"$200,000 - $299,999",OWNER,N,3,35-39,Website,NO
150210508,"$  50,000 - $99,999",OWNER,N,17,60-64,DirectMarketing,NO
181285836,"$  50,000 - $99,999",OWNER,N,23,75 years or more,DirectMarketing,YES
110505827,"$100,000 - $199,999",OWNER,Y,8,35-39,DirectMarketing,NO
160469362,"$100,000 - $199,999",OWNER,N,15,55-59,DirectMarketing,YES
130050024,"$100,000 - $199,999",OWNER,N,20,45-49,DirectMarketing,NO
181147319,"$100,000 - $199,999",OWNER,N,4,55-59,Website,NO
130229994,"$100,000 - $199,999",OWNER,Y,8,65-69,DirectMarketing,NO
181371761,"$100,000 - $199,999",OWNER,Y,3,40-44,DirectMarketing,NO
130597522,"$  50,000 - $99,999",OWNER,N,4,40-44,DirectMarketing,NO
180178644,"$100,000 - $199,999",OWNER,N,11,50-54,DirectMarketing,NO
181394553,"$  50,000 - $99,999",OWNER,N,22,70-74,DirectMarketing,NO
160397871,"$  50,000 - $99,999",RENTER,N,2,60-64,DirectMarketing,NO
110130767,"$100,000 - $199,999",OWNER,N,2,35-39,DirectMarketing,NO
170140153,"$100,000 - $199,999",OWNER,N,22,50-54,DirectMarketing,NO
180375258,"$200,000 - $299,999",OWNER,N,7,45-49,Website,NO
180355537,"$  20,000 - $49,999",RENTER,N,4,50-54,DirectMarketing,NO
140569054,"Under $20,000",RENTER,N,9,30-34,DirectMarketing,NO
181498876,"$100,000 - $199,999",OWNER,N,2,30-34,Website,NO
180323448,"$400,000 - $499,999",OWNER,Y,19,50-54,Website,NO
170301230,"$300,000 - $399,999",OWNER,Y,15,50-54,DirectMarketing,NO
181454125,"Under $20,000",RENTER,N,50,60-64,Website,NO
170135932,"$  50,000 - $99,999",OWNER,N,14,45-49,DirectMarketing,NO
181313826,"$100,000 - $199,999",OWNER,N,24,65-69,DirectMarketing,NO
160006634,"$100,000 - $199,999",OWNER,Y,11,65-69,DirectMarketing,YES
181277795,"$  50,000 - $99,999",OWNER,N,3,30-34,DirectMarketing,YES
180533664,"$500,000 Plus",OWNER,N,20,55-59,DirectMarketing,YES
180650527,"$  20,000 - $49,999",OWNER,N,20,40-44,DirectMarketing,NO
180424019,"$  20,000 - $49,999",OWNER,N,17,45-49,DirectMarketing,NO
160392621,"$100,000 - $199,999",OWNER,N,7,30-34,DirectMarketing,NO
180442015,"Under $20,000",OWNER,N,9,50-54,DirectMarketing,NO
181350643,"$  20,000 - $49,999",RENTER,N,16,30-34,DirectMarketing,NO
180159189,"$100,000 - $199,999",OWNER,Y,22,55-59,DirectMarketing,NO
150310643,"$  50,000 - $99,999",OWNER,N,20,70-74,DirectMarketing,YES
150115511,"Under $20,000",RENTER,N,5,24 years or less,Website,NO
180290777,"$100,000 - $199,999",RENTER,N,2,35-39,Website,NO
170207451,"$100,000 - $199,999",RENTER,N,1,30-34,DirectMarketing,NO
181463399,"$100,000 - $199,999",RENTER,N,6,75 years or more,Website,NO
180390664,"$  20,000 - $49,999",RENTER,Y,12,40-44,DirectMarketing,NO
180614231,"$100,000 - $199,999",OWNER,N,23,55-59,DirectMarketing,NO
110543221,"$  20,000 - $49,999",OWNER,N,26,65-69,DirectMarketing,NO
180674008,"$100,000 - $199,999",OWNER,N,14,60-64,DirectMarketing,NO
181261952,"$  50,000 - $99,999",OWNER,N,20,55-59,Website,NO
180765027,"$  50,000 - $99,999",OWNER,Y,23,40-44,DirectMarketing,NO
180256660,"$  50,000 - $99,999",OWNER,N,4,55-59,Website,NO
181399373,"$100,000 - $199,999",RENTER,Y,14,35-39,Website,NO
181260308,"Under $20,000",RENTER,N,1,30-34,Website,NO
180549069,"$  50,000 - $99,999",OWNER,N,13,75 years or more,DirectMarketing,NO
180583347,"$  20,000 - $49,999",OWNER,Y,24,60-64,DirectMarketing,NO
181526300,"Under $20,000",RENTER,N,1,24 years or less,Website,YES
180636467,"$  50,000 - $99,999",OWNER,N,25,60-64,DirectMarketing,NO
180481586,"$  20,000 - $49,999",RENTER,N,4,35-39,DirectMarketing,NO
130316052,"Under $20,000",RENTER,N,6,60-64,Website,NO
180169287,"Under $20,000",RENTER,N,2,25-29,DirectMarketing,NO
180232434,"$  50,000 - $99,999",OWNER,N,10,45-49,DirectMarketing,NO
180598988,"$  50,000 - $99,999",OWNER,N,2,50-54,DirectMarketing,NO
180737853,"$100,000 - $199,999",RENTER,Y,4,30-34,DirectMarketing,NO
180666291,"$100,000 - $199,999",OWNER,N,8,60-64,DirectMarketing,NO
160150953,"Under $20,000",RENTER,N,20,75 years or more,DirectMarketing,YES
160579045,"Under $20,000",OWNER,N,16,75 years or more,DirectMarketing,NO
181302734,"Under $20,000",RENTER,N,12,70-74,DirectMarketing,NO
180302347,"$  50,000 - $99,999",RENTER,N,1,60-64,DirectMarketing,NO
181306895,"$  50,000 - $99,999",OWNER,N,1,30-34,DirectMarketing,NO
110205240,"$  20,000 - $49,999",OWNER,N,2,24 years or less,DirectMarketing,NO
120095341,"$400,000 - $499,999",OWNER,N,38,70-74,DirectMarketing,YES
120292790,"$  20,000 - $49,999",OWNER,N,11,45-49,DirectMarketing,NO
150554453,"$  50,000 - $99,999",RENTER,N,2,55-59,DirectMarketing,NO
180516560,"$  20,000 - $49,999",OWNER,Y,15,50-54,DirectMarketing,NO
150028228,"$  50,000 - $99,999",OWNER,N,18,70-74,DirectMarketing,NO
120058577,"$  50,000 - $99,999",OWNER,N,37,75 years or more,DirectMarketing,NO
180757012,"$100,000 - $199,999",OWNER,N,2,50-54,Website,NO
180560904,"Under $20,000",RENTER,N,9,55-59,DirectMarketing,NO
130516812,"Under $20,000",OWNER,N,22,75 years or more,DirectMarketing,NO
120268332,"$100,000 - $199,999",OWNER,N,17,50-54,Website,NO
180401034,"$  50,000 - $99,999",OWNER,N,8,45-49,Website,NO
120044507,"$100,000 - $199,999",OWNER,Y,18,45-49,DirectMarketing,NO
180559749,"$  50,000 - $99,999",OWNER,N,12,45-49,DirectMarketing,NO
120224295,"$  50,000 - $99,999",OWNER,N,23,55-59,DirectMarketing,YES
180519103,"$100,000 - $199,999",OWNER,N,29,75 years or more,DirectMarketing,NO
110513877,"$  50,000 - $99,999",OWNER,N,38,75 years or more,DirectMarketing,NO
180078680,"$  20,000 - $49,999",OWNER,Y,17,50-54,DirectMarketing,NO
180466127,"$  50,000 - $99,999",OWNER,N,20,60-64,DirectMarketing,NO
181294072,"$  20,000 - $49,999",OWNER,N,4,45-49,DirectMarketing,YES
180604056,"$  20,000 - $49,999",RENTER,N,1,25-29,DirectMarketing,NO
110072751,"$100,000 - $199,999",OWNER,N,7,45-49,DirectMarketing,YES
180560603,"Under $20,000",RENTER,N,15,60-64,DirectMarketing,NO
180302612,"$100,000 - $199,999",OWNER,N,9,45-49,DirectMarketing,NO
181531732,"$100,000 - $199,999",OWNER,Y,38,70-74,Website,YES
180135255,"$  50,000 - $99,999",RENTER,N,5,25-29,Website,NO
130496316,"$  20,000 - $49,999",OWNER,N,30,70-74,DirectMarketing,NO
180309516,"$  20,000 - $49,999",RENTER,N,2,35-39,Website,NO
180695002,"Under $20,000",RENTER,N,1,40-44,DirectMarketing,NO
181197414,"Under $20,000",OWNER,N,20,75 years or more,DirectMarketing,YES
180702941,"Under $20,000",RENTER,N,1,25-29,DirectMarketing,NO
170561371,"$  20,000 - $49,999",RENTER,Y,1,35-39,DirectMarketing,NO
150075163,"$  20,000 - $49,999",OWNER,N,1,30-34,DirectMarketing,NO
120190072,"$  20,000 - $49,999",OWNER,N,19,70-74,DirectMarketing,YES
150157252,"$100,000 - $199,999",OWNER,N,24,55-59,DirectMarketing,NO
170225357,"$100,000 - $199,999",OWNER,N,32,75 years or more,DirectMarketing,YES
180528415,"$100,000 - $199,999",OWNER,N,1,65-69,Website,NO
180630553,"$  50,000 - $99,999",OWNER,N,13,45-49,DirectMarketing,NO
180465062,"$200,000 - $299,999",OWNER,Y,2,35-39,DirectMarketing,NO
120528298,"$100,000 - $199,999",OWNER,N,3,45-49,DirectMarketing,NO
130582696,"$100,000 - $199,999",OWNER,N,23,70-74,DirectMarketing,NO
180202521,"$  20,000 - $49,999",RENTER,N,11,45-49,DirectMarketing,NO
180359904,"$  20,000 - $49,999",RENTER,N,1,24 years or less,DirectMarketing,NO
181479400,"$  20,000 - $49,999",RENTER,N,5,45-49,Website,YES
181186128,"$  50,000 - $99,999",OWNER,Y,22,55-59,DirectMarketing,NO
180321708,"$100,000 - $199,999",OWNER,N,5,40-44,Website,NO
130035324,"$200,000 - $299,999",OWNER,N,13,60-64,DirectMarketing,NO
181318584,"$  50,000 - $99,999",OWNER,Y,3,40-44,DirectMarketing,NO
110185710,"$  50,000 - $99,999",OWNER,N,12,45-49,DirectMarketing,NO
180482445,"$  20,000 - $49,999",OWNER,N,21,70-74,DirectMarketing,NO
170318198,"$  20,000 - $49,999",OWNER,N,3,30-34,Website,NO
160482970,"$400,000 - $499,999",OWNER,N,22,60-64,DirectMarketing,NO
120214110,"$300,000 - $399,999",OWNER,N,23,65-69,DirectMarketing,NO
180274239,"$100,000 - $199,999",OWNER,N,10,55-59,DirectMarketing,NO
110527562,"$  20,000 - $49,999",OWNER,Y,31,65-69,DirectMarketing,YES
120137068,"$  20,000 - $49,999",OWNER,N,27,75 years or more,Website,NO
140133472,"$  50,000 - $99,999",OWNER,N,31,75 years or more,Website,YES
181369503,"$100,000 - $199,999",OWNER,N,1,55-59,DirectMarketing,NO
170148168,"$100,000 - $199,999",OWNER,N,7,30-34,Website,NO
120328567,"$  50,000 - $99,999",OWNER,N,19,40-44,DirectMarketing,NO
180662231,"Under $20,000",OWNER,N,20,75 years or more,DirectMarketing,NO
160585506,"Under $20,000",OWNER,N,18,75 years or more,DirectMarketing,NO
120593069,"$500,000 Plus",OWNER,Y,20,40-44,DirectMarketing,NO
140586729,"$  50,000 - $99,999",OWNER,N,7,45-49,DirectMarketing,NO
150036243,"$  50,000 - $99,999",RENTER,N,2,55-59,DirectMarketing,NO
181444170,"Under $20,000",RENTER,N,6,30-34,Website,YES
180598816,"$  50,000 - $99,999",OWNER,N,5,30-34,Website,NO
180309610,"$  20,000 - $49,999",OWNER,N,1,45-49,DirectMarketing,NO
181321152,"Under $20,000",RENTER,N,8,25-29,Website,NO
140126416,"$100,000 - $199,999",OWNER,N,1,30-34,DirectMarketing,NO
180695937,"Under $20,000",RENTER,N,6,40-44,DirectMarketing,NO
180684970,"$  20,000 - $49,999",OWNER,N,2,70-74,DirectMarketing,NO
130162339,"$  50,000 - $99,999",OWNER,N,1,45-49,DirectMarketing,NO
180590098,"$  50,000 - $99,999",OWNER,Y,17,40-44,DirectMarketing,NO
180449071,"$100,000 - $199,999",OWNER,N,20,55-59,DirectMarketing,NO
160135112,"$100,000 - $199,999",OWNER,N,41,70-74,DirectMarketing,YES
181419875,"$100,000 - $199,999",OWNER,N,48,75 years or more,DirectMarketing,YES
160235653,"$100,000 - $199,999",OWNER,N,37,65-69,DirectMarketing,YES
181532875,"$  20,000 - $49,999",OWNER,N,6,50-54,Website,YES
180663947,"Under $20,000",RENTER,N,1,24 years or less,DirectMarketing,NO
130508720,"$  20,000 - $49,999",OWNER,Y,17,55-59,DirectMarketing,NO
181537361,"$  20,000 - $49,999",OWNER,N,5,50-54,Website,YES
120008940,"$100,000 - $199,999",OWNER,N,31,65-69,DirectMarketing,YES
180519475,"$100,000 - $199,999",OWNER,N,55,75 years or more,DirectMarketing,YES
180328449,"$  20,000 - $49,999",OWNER,N,10,50-54,DirectMarketing,NO
160123807,"$  50,000 - $99,999",OWNER,N,7,35-39,Website,NO
180701569,"Under $20,000",OWNER,N,10,70-74,DirectMarketing,NO
180458713,"$300,000 - $399,999",OWNER,Y,20,50-54,DirectMarketing,YES
180362633,"Under $20,000",OWNER,N,10,45-49,DirectMarketing,NO
180406736,"$  20,000 - $49,999",OWNER,N,10,45-49,DirectMarketing,NO
180214317,"$  50,000 - $99,999",OWNER,N,5,30-34,DirectMarketing,NO
180543950,"Under $20,000",RENTER,N,9,40-44,DirectMarketing,NO
180634821,"$  20,000 - $49,999",OWNER,Y,21,40-44,DirectMarketing,YES
181299877,"$  20,000 - $49,999",RENTER,N,1,30-34,Website,NO
160310441,"$  20,000 - $49,999",OWNER,N,7,25-29,DirectMarketing,NO
180625791,"$  50,000 - $99,999",OWNER,N,7,45-49,DirectMarketing,NO
180653915,"$  20,000 - $49,999",RENTER,N,15,45-49,DirectMarketing,NO
130522377,"$100,000 - $199,999",OWNER,Y,17,50-54,DirectMarketing,YES
180567545,"$  20,000 - $49,999",OWNER,Y,17,45-49,DirectMarketing,NO
181216473,"Under $20,000",RENTER,N,6,30-34,Website,NO
181223691,"$100,000 - $199,999",OWNER,Y,12,40-44,Website,NO
181365079,"$  20,000 - $49,999",RENTER,N,6,25-29,Website,NO
140005743,"$  50,000 - $99,999",OWNER,Y,27,70-74,DirectMarketing,NO
180486287,"$  20,000 - $49,999",OWNER,Y,6,70-74,DirectMarketing,NO
180426660,"$  20,000 - $49,999",OWNER,N,17,55-59,Website,NO
180414054,"$  50,000 - $99,999",OWNER,Y,22,55-59,Website,NO
180389083,"$  20,000 - $49,999",OWNER,Y,15,30-34,DirectMarketing,NO
181475591,"$  50,000 - $99,999",OWNER,N,15,60-64,Website,NO
181361281,"$  20,000 - $49,999",RENTER,Y,1,45-49,Website,NO
110613032,"$  20,000 - $49,999",RENTER,N,10,24 years or less,Website,NO
180660489,"Under $20,000",OWNER,Y,20,60-64,DirectMarketing,NO
160274153,"$100,000 - $199,999",OWNER,Y,21,50-54,DirectMarketing,NO
110203609,"$  50,000 - $99,999",RENTER,N,1,30-34,DirectMarketing,NO
181322427,"$100,000 - $199,999",OWNER,N,14,60-64,DirectMarketing,NO
180429683,"$100,000 - $199,999",OWNER,Y,12,75 years or more,Website,NO
180396138,"$400,000 - $499,999",OWNER,N,38,70-74,DirectMarketing,NO
150387636,"$100,000 - $199,999",OWNER,N,18,50-54,DirectMarketing,NO
180716232,"Under $20,000",OWNER,N,27,50-54,DirectMarketing,NO
180287326,"$100,000 - $199,999",OWNER,N,18,55-59,Website,NO
170050826,"$  20,000 - $49,999",RENTER,N,1,30-34,DirectMarketing,YES
180613081,"$  20,000 - $49,999",RENTER,N,10,40-44,DirectMarketing,NO
170111740,"Under $20,000",OWNER,Y,7,35-39,Website,NO
120334951,"$  50,000 - $99,999",OWNER,N,22,55-59,DirectMarketing,NO
181198760,"$  50,000 - $99,999",OWNER,N,16,55-59,DirectMarketing,YES
140129762,"$100,000 - $199,999",OWNER,N,23,45-49,DirectMarketing,YES
181445357,"Under $20,000",RENTER,N,3,25-29,Website,NO
140114005,"$100,000 - $199,999",OWNER,N,6,25-29,DirectMarketing,NO
180614005,"$  20,000 - $49,999",OWNER,N,21,45-49,DirectMarketing,NO
180470827,"$100,000 - $199,999",OWNER,Y,19,50-54,DirectMarketing,NO
181314912,"$100,000 - $199,999",OWNER,N,37,65-69,DirectMarketing,NO
180392463,"$  50,000 - $99,999",OWNER,N,4,30-34,DirectMarketing,NO
150208947,"$100,000 - $199,999",OWNER,N,40,70-74,DirectMarketing,YES
180636291,"$  20,000 - $49,999",RENTER,N,2,25-29,DirectMarketing,NO
130524134,"$  20,000 - $49,999",RENTER,Y,6,30-34,Website,NO
180500739,"Under $20,000",RENTER,N,8,75 years or more,DirectMarketing,NO
180222761,"$100,000 - $199,999",OWNER,N,32,65-69,Website,YES
180462350,"$100,000 - $199,999",OWNER,N,23,70-74,Website,NO
130115348,"$  50,000 - $99,999",OWNER,N,22,75 years or more,DirectMarketing,YES
160516374,"$  20,000 - $49,999",RENTER,N,12,65-69,DirectMarketing,NO
130335869,"$  50,000 - $99,999",RENTER,N,8,55-59,DirectMarketing,NO
160184427,"Under $20,000",RENTER,N,4,65-69,DirectMarketing,NO
150146640,"$  50,000 - $99,999",OWNER,N,19,75 years or more,DirectMarketing,NO
160462957,"Under $20,000",RENTER,N,2,75 years or more,DirectMarketing,NO
120216147,"$100,000 - $199,999",OWNER,Y,8,40-44,Website,NO
180286062,"$  50,000 - $99,999",OWNER,Y,17,40-44,Website,NO
180681137,"$  50,000 - $99,999",OWNER,N,15,45-49,DirectMarketing,NO
180343251,"$  50,000 - $99,999",OWNER,Y,19,55-59,DirectMarketing,NO
181464351,"$  50,000 - $99,999",OWNER,Y,16,45-49,DirectMarketing,YES
130189884,"$100,000 - $199,999",OWNER,N,9,40-44,DirectMarketing,NO
170048068,"$500,000 Plus",OWNER,N,23,50-54,DirectMarketing,NO
170162154,"$300,000 - $399,999",OWNER,Y,20,45-49,DirectMarketing,NO
180593857,"$  50,000 - $99,999",OWNER,Y,25,55-59,DirectMarketing,NO
181497176,"$  50,000 - $99,999",OWNER,N,7,65-69,Website,NO
181299592,"$  20,000 - $49,999",OWNER,Y,13,40-44,Website,NO
120373836,"$500,000 Plus",OWNER,Y,2,40-44,DirectMarketing,NO
180640687,"Under $20,000",OWNER,N,17,50-54,DirectMarketing,NO
140504178,"Under $20,000",OWNER,N,17,50-54,DirectMarketing,NO
180186789,"Under $20,000",OWNER,N,17,50-54,DirectMarketing,NO
181273195,"Under $20,000",RENTER,N,9,45-49,Website,NO
181356802,"$  50,000 - $99,999",OWNER,Y,13,45-49,DirectMarketing,NO
181278632,"$100,000 - $199,999",OWNER,N,8,50-54,DirectMarketing,NO
140037663,"$  50,000 - $99,999",OWNER,N,30,60-64,DirectMarketing,NO
180210527,"$  50,000 - $99,999",RENTER,N,11,45-49,DirectMarketing,NO
180508764,"Under $20,000",RENTER,N,2,50-54,Website,NO
170169224,"$  20,000 - $49,999",OWNER,N,34,75 years or more,DirectMarketing,NO
180494952,"$  50,000 - $99,999",RENTER,N,7,25-29,DirectMarketing,NO
180388010,"Under $20,000",OWNER,N,15,45-49,DirectMarketing,NO
150206217,"$  20,000 - $49,999",OWNER,N,9,35-39,DirectMarketing,NO
180605989,"$  20,000 - $49,999",RENTER,N,18,25-29,DirectMarketing,NO
180527786,"$  20,000 - $49,999",OWNER,N,22,70-74,DirectMarketing,NO
120069959,"$  50,000 - $99,999",OWNER,Y,33,25-29,DirectMarketing,NO
181502370,"$100,000 - $199,999",OWNER,N,5,75 years or more,Website,YES
140215512,"$  20,000 - $49,999",RENTER,N,3,35-39,DirectMarketing,NO
180500056,"$  50,000 - $99,999",OWNER,N,8,45-49,DirectMarketing,NO
180644163,"$  50,000 - $99,999",OWNER,N,8,45-49,Website,NO
150079951,"$  20,000 - $49,999",OWNER,N,32,75 years or more,DirectMarketing,YES
180603512,"$100,000 - $199,999",OWNER,N,15,60-64,Website,NO
180640281,"$  20,000 - $49,999",RENTER,N,5,35-39,DirectMarketing,NO
180351196,"$100,000 - $199,999",OWNER,Y,13,45-49,DirectMarketing,NO
181189828,"Under $20,000",OWNER,N,14,55-59,DirectMarketing,YES
180594537,"$  50,000 - $99,999",OWNER,Y,7,60-64,Website,NO
180588081,"$  50,000 - $99,999",OWNER,N,5,30-34,DirectMarketing,NO
180389848,"$  50,000 - $99,999",OWNER,N,26,45-49,DirectMarketing,NO
110236894,"Under $20,000",RENTER,Y,10,35-39,Website,NO
160037875,"$  50,000 - $99,999",OWNER,N,29,55-59,DirectMarketing,YES
180610340,"$100,000 - $199,999",OWNER,Y,16,40-44,DirectMarketing,NO
150590174,"$100,000 - $199,999",OWNER,N,43,75 years or more,DirectMarketing,YES
181449134,"$100,000 - $199,999",OWNER,Y,21,45-49,Website,NO
181514038,"$100,000 - $199,999",OWNER,N,46,75 years or more,DirectMarketing,YES
180766518,"$  20,000 - $49,999",RENTER,N,1,30-34,DirectMarketing,NO
120154652,"$100,000 - $199,999",OWNER,N,2,50-54,DirectMarketing,NO
181475850,"Under $20,000",RENTER,N,8,65-69,Website,NO
181480567,"Under $20,000",RENTER,N,11,55-59,Website,NO
181308950,"Under $20,000",RENTER,N,5,24 years or less,DirectMarketing,NO
170469825,"$  50,000 - $99,999",RENTER,Y,3,45-49,Website,NO
180191141,"Under $20,000",RENTER,N,13,30-34,Website,NO
180416577,"Under $20,000",RENTER,N,1,30-34,Website,NO
130200874,"Under $20,000",RENTER,N,1,24 years or less,Website,NO
181514224,"Under $20,000",RENTER,N,1,35-39,Website,YES
181480709,"Under $20,000",RENTER,N,1,24 years or less,Website,NO
180387597,"$100,000 - $199,999",OWNER,N,17,60-64,DirectMarketing,NO
180391068,"$  50,000 - $99,999",OWNER,Y,18,50-54,DirectMarketing,NO
181400517,"$  50,000 - $99,999",OWNER,Y,12,50-54,DirectMarketing,NO
180502135,"Under $20,000",RENTER,Y,4,35-39,DirectMarketing,NO
120230294,"Under $20,000",RENTER,N,2,30-34,DirectMarketing,NO
150348121,"Under $20,000",RENTER,N,1,24 years or less,DirectMarketing,NO
180485035,"$  50,000 - $99,999",OWNER,N,2,35-39,DirectMarketing,NO
180077339,"$  50,000 - $99,999",OWNER,N,1,60-64,Website,NO
150233776,"$  50,000 - $99,999",OWNER,N,29,60-64,DirectMarketing,NO
140232606,"$300,000 - $399,999",OWNER,N,26,75 years or more,DirectMarketing,YES
130117665,"$  20,000 - $49,999",OWNER,N,25,60-64,DirectMarketing,NO
130262068,"$  50,000 - $99,999",OWNER,N,20,55-59,Website,NO
110156072,"$  20,000 - $49,999",RENTER,N,2,30-34,DirectMarketing,NO
180651459,"$  20,000 - $49,999",RENTER,Y,9,45-49,DirectMarketing,NO
110575386,"$100,000 - $199,999",OWNER,N,3,35-39,DirectMarketing,NO
180378426,"$  50,000 - $99,999",OWNER,N,10,30-34,DirectMarketing,NO
180489566,"$  50,000 - $99,999",OWNER,N,16,40-44,DirectMarketing,NO
160078699,"$  50,000 - $99,999",OWNER,N,15,60-64,DirectMarketing,NO
180391071,"$  50,000 - $99,999",OWNER,N,6,30-34,DirectMarketing,NO
180419095,"$  20,000 - $49,999",OWNER,N,20,50-54,DirectMarketing,NO
180653033,"$  50,000 - $99,999",OWNER,N,19,60-64,DirectMarketing,NO
181208276,"$  20,000 - $49,999",RENTER,N,1,40-44,DirectMarketing,YES
170398565,"$300,000 - $399,999",OWNER,Y,20,45-49,DirectMarketing,NO
181198828,"Under $20,000",RENTER,Y,6,45-49,DirectMarketing,YES
180447994,"Under $20,000",RENTER,N,12,55-59,DirectMarketing,NO
180162675,"$100,000 - $199,999",OWNER,N,19,45-49,Website,NO
181298619,"Under $20,000",OWNER,N,41,75 years or more,DirectMarketing,NO
